hhid,psuid,loc,pline,fline,v001,v002,v003,v004,v005,v006,v007a,v007b,v007c,v008
290,17,urban,138.7,88.768,172.3437921278104,3,1,0,0,1,0,30,3,0
291,17,urban,138.7,88.768,242.9385927679231,2,1,0,0,1,1,29,3,0
292,17,urban,138.7,88.768,203.0590167250435,4,2,0,0,2,0,43,6,0
293,17,urban,138.7,88.768,233.0665690474166,5,3,0,0,1,0,37,6,0
294,17,urban,138.7,88.768,103.9566870460218,1,0,1,0,0,1,71,3,0
295,17,urban,138.7,88.768,78.44609005771476,5,3,0,0,0,0,36,4,0
296,17,urban,138.7,88.768,194.9788329264098,3,1,0,0,1,0,28,6,0
297,17,urban,138.7,88.768,116.2734706690014,6,4,0,0,0,0,39,6,0
298,17,urban,138.7,88.768,240.7540465131429,7,3,0,0,2,0,41,4,0
299,17,urban,138.7,88.768,142.3943323056124,4,1,0,0,1,0,40,3,0
300,17,urban,138.7,88.768,199.4780000184466,2,0,0,0,2,0,54,2,0
301,17,urban,138.7,88.768,555.318983204341,3,1,0,0,1,0,38,6,0
302,17,urban,138.7,88.768,49.55509771841229,4,2,0,0,1,1,53,5,0
303,17,urban,138.7,88.768,184.4854406298269,4,1,0,0,1,1,50,2,0
304,17,urban,138.7,88.768,224.8518291158987,3,1,0,0,0,1,37,6,0
305,17,urban,138.7,88.768,239.7094261303743,4,0,0,0,2,0,48,6,0
306,17,urban,138.7,88.768,150.0307652346104,6,2,0,0,2,0,46,5,0
307,18,urban,138.7,88.768,148.9549280410891,9,2,0,0,1,1,54,2,0
308,18,urban,138.7,88.768,236.8675428273259,6,0,0,0,4,0,55,6,0
309,18,urban,138.7,88.768,91.20026010392394,6,2,0,0,3,0,58,4,0
310,18,urban,138.7,88.768,99.32637495802969,7,3,2,0,1,0,73,3,0
311,18,urban,138.7,88.768,58.20624772787259,9,2,0,2,1,0,62,0,0
312,18,urban,138.7,88.768,149.3780709435989,2,0,0,0,1,1,57,6,0
313,18,urban,138.7,88.768,175.8742995044181,5,3,0,0,2,0,35,6,0
314,18,urban,138.7,88.768,237.137106472272,2,0,2,0,1,0,70,6,0
315,18,urban,138.7,88.768,269.9012765710183,1,0,0,0,1,1,53,2,0
316,18,urban,138.7,88.768,131.2267600691577,4,0,0,0,1,1,50,2,0
317,18,urban,138.7,88.768,111.6136953425384,12,5,0,0,3,0,54,3,0
318,18,urban,138.7,88.768,102.2363004479852,5,3,0,0,2,0,31,5,0
319,18,urban,138.7,88.768,92.49662110239198,9,4,1,0,3,0,41,3,0
320,18,urban,138.7,88.768,80.60677769881438,7,3,1,0,1,0,68,3,0
321,18,urban,138.7,88.768,87.0333983625389,1,0,1,0,0,0,78,6,0
322,18,urban,138.7,88.768,105.3401642257936,4,1,0,0,2,0,44,6,0
323,18,urban,138.7,88.768,93.63435456125441,7,2,1,0,1,0,43,3,0
324,18,urban,138.7,88.768,92.24152738422946,7,3,2,0,1,0,77,1,0
325,19,urban,138.7,88.768,571.5362566407748,1,0,0,0,1,0,23,6,0
326,19,urban,138.7,88.768,90.99804223229661,2,0,0,0,1,1,60,0,0
327,19,urban,138.7,88.768,45.69894105741623,11,5,0,0,2,0,42,6,0
328,19,urban,138.7,88.768,171.041111820854,4,0,0,0,2,0,48,6,0
329,19,urban,138.7,88.768,69.43367284329547,5,3,0,0,1,0,36,4,0
330,19,urban,138.7,88.768,134.2925274443649,6,1,1,0,2,0,67,2,0
331,19,urban,138.7,88.768,879.5231609258111,1,0,0,0,1,0,40,6,0
332,19,urban,138.7,88.768,136.4713347353138,8,1,0,0,5,0,60,6,0
333,19,urban,138.7,88.768,166.3287132052529,6,3,0,0,1,0,47,5,0
334,19,urban,138.7,88.768,123.7600457109898,4,2,0,0,1,0,35,3,0
335,19,urban,138.7,88.768,148.1997004621921,5,4,0,1,0,1,26,3,0
